货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
110,标准件,0,0,0,25,35,50,8
266,定向件,25,0,0,40,40,60,18
117,标准件,65,0,0,25,35,50,8
57,标准件,90,0,0,30,40,60,12
40,标准件,120,0,0,30,40,60,12
170,标准件,150,0,0,25,35,50,8
4,标准件,175,0,0,30,40,60,12
65,标准件,205,0,0,30,40,60,12
245,定向件,235,0,0,80,60,50,25
288,定向件,315,0,0,40,40,60,18
42,标准件,355,0,0,30,40,60,12
53,标准件,385,0,0,30,40,60,12
135,标准件,0,35,0,25,35,50,8
289,定向件,25,40,0,40,40,60,18
67,标准件,65,40,0,30,40,60,12
129,标准件,150,35,0,25,35,50,8
84,标准件,95,40,0,25,35,50,8
264,定向件,175,40,0,40,40,60,18
267,定向件,315,40,0,40,40,60,18
81,标准件,120,40,0,25,35,50,8
200,易碎件,355,40,0,40,50,70,15
220,定向件,235,60,0,80,60,50,25
298,定向件,95,75,0,40,40,60,18
100,标准件,395,40,0,25,35,50,8
299,定向件,135,75,0,40,40,60,18
102,标准件,0,70,0,25,35,50,8
295,定向件,25,80,0,40,40,60,18
283,定向件,175,80,0,40,40,60,18
210,定向件,95,115,0,80,60,50,25
234,定向件,175,120,0,80,60,50,25
169,标准件,395,75,0,25,35,50,8
219,定向件,255,120,0,80,60,50,25
97,标准件,65,80,0,25,35,50,8
247,定向件,335,120,0,80,60,50,25
11,标准件,315,80,0,30,40,60,12
202,易碎件,25,120,0,40,50,70,15
244,定向件,235,0,50,80,60,50,25
212,定向件,235,60,50,80,60,50,25
232,定向件,95,115,50,80,60,50,25
273,定向件,25,170,0,40,40,60,18
224,定向件,175,120,50,80,60,50,25
21,标准件,65,115,0,30,40,60,12
226,定向件,255,120,50,80,60,50,25
28,标准件,65,155,0,30,40,60,12
235,定向件,335,120,50,80,60,50,25
257,定向件,25,0,60,40,40,60,18
281,定向件,90,0,60,40,40,60,18
72,标准件,130,0,60,30,40,60,12
63,标准件,160,0,60,30,40,60,12
73,标准件,190,0,60,30,40,60,12
287,定向件,315,0,60,40,40,60,18
278,定向件,355,0,60,40,40,60,18
269,定向件,25,40,60,40,40,60,18
64,标准件,65,40,60,30,40,60,12
113,标准件,0,105,0,25,35,50,8
284,定向件,160,40,60,40,40,60,18
